District,VDC Code,VDC,Ward,HH,Total,Male,Female
Nuwakot,12,Chaturale,5,46,187,96,91
Nuwakot,12,Chaturale,6,75,382,172,210
Nuwakot,12,Chaturale,7,115,542,259,283
Nuwakot,12,Chaturale,8,77,340,168,172
Nuwakot,12,Chaturale,9,61,290,141,149
Nuwakot,13,Chaughada,1,83,380,175,205
Nuwakot,13,Chaughada,2,110,570,265,305
Nuwakot,13,Chaughada,3,170,762,357,405
Nuwakot,13,Chaughada,4,184,846,381,465
Nuwakot,13,Chaughada,5,91,470,228,242
Nuwakot,13,Chaughada,6,158,767,347,420
Nuwakot,13,Chaughada,7,122,607,273,334
Nuwakot,13,Chaughada,8,151,659,314,345
Nuwakot,13,Chaughada,9,95,419,179,240
Nuwakot,14,Chauthe,1,93,476,247,229
Nuwakot,14,Chauthe,2,74,417,217,200
Nuwakot,14,Chauthe,3,68,357,187,170
Nuwakot,14,Chauthe,4,64,320,155,165
Nuwakot,14,Chauthe,5,78,380,195,185
Nuwakot,14,Chauthe,6,104,501,252,249
Nuwakot,14,Chauthe,7,76,390,190,200
Nuwakot,14,Chauthe,8,73,345,167,178
Nuwakot,14,Chauthe,9,67,349,170,179
Nuwakot,15,Chhap,1,45,198,93,105
Nuwakot,15,Chhap,2,53,261,121,140
Nuwakot,15,Chhap,3,43,214,104,110
Nuwakot,15,Chhap,4,54,254,119,135
Nuwakot,15,Chhap,5,47,206,98,108
Nuwakot,15,Chhap,6,63,299,144,155
Nuwakot,15,Chhap,7,38,178,80,98
Nuwakot,15,Chhap,8,24,101,53,48
Nuwakot,15,Chhap,9,81,374,193,181
Nuwakot,16,Dangsing,1,96,489,241,248
Nuwakot,16,Dangsing,2,104,440,183,257
Nuwakot,16,Dangsing,3,63,286,127,159
Nuwakot,16,Dangsing,4,94,399,178,221
Nuwakot,16,Dangsing,5,81,347,155,192
Nuwakot,16,Dangsing,6,41,160,76,84
Nuwakot,16,Dangsing,7,53,224,102,122
Nuwakot,16,Dangsing,8,52,209,86,123
Nuwakot,16,Dangsing,9,41,182,91,91
Nuwakot,17,Deurali,1,57,200,85,115
Nuwakot,17,Deurali,2,83,253,105,148
Nuwakot,17,Deurali,3,114,393,176,217
Nuwakot,17,Deurali,4,126,435,191,244
Nuwakot,17,Deurali,5,164,591,255,336
Nuwakot,17,Deurali,6,124,477,229,248
Nuwakot,17,Deurali,7,95,334,159,175
Nuwakot,17,Deurali,8,115,478,210,268
Nuwakot,17,Deurali,9,127,495,222,273
Nuwakot,18,Duipipal,1,161,826,408,418
Nuwakot,18,Duipipal,2,96,463,226,237
Nuwakot,18,Duipipal,3,177,869,382,487
Nuwakot,18,Duipipal,4,100,446,214,232
Nuwakot,18,Duipipal,5,73,347,166,181
Nuwakot,18,Duipipal,6,145,719,330,389
Nuwakot,18,Duipipal,7,296,"1,583",762,821
Nuwakot,18,Duipipal,8,267,"1,276",617,659
Nuwakot,18,Duipipal,9,254,"1,261",596,665
Nuwakot,19,Fikuri,1,72,273,119,154
Nuwakot,19,Fikuri,2,41,151,69,82
Nuwakot,19,Fikuri,3,32,120,51,69
Nuwakot,19,Fikuri,4,151,645,322,323
Nuwakot,19,Fikuri,5,87,431,210,221
Nuwakot,19,Fikuri,6,68,348,169,179
Nuwakot,19,Fikuri,7,105,513,249,264
Nuwakot,19,Fikuri,8,30,139,68,71
Nuwakot,19,Fikuri,9,50,253,114,139
Nuwakot,20,Ganeshthan,1,124,594,295,299
Nuwakot,20,Ganeshthan,2,112,494,253,241
Nuwakot,20,Ganeshthan,3,128,587,283,304
Nuwakot,20,Ganeshthan,4,195,883,417,466
Nuwakot,20,Ganeshthan,5,52,256,136,120
Nuwakot,20,Ganeshthan,6,77,340,159,181
Nuwakot,20,Ganeshthan,7,28,122,57,65
Nuwakot,20,Ganeshthan,8,34,150,73,77
Nuwakot,20,Ganeshthan,9,57,302,145,157
Nuwakot,21,Gaunkharka,1,37,174,78,96
Nuwakot,21,Gaunkharka,2,60,293,132,161
Nuwakot,21,Gaunkharka,3,58,271,133,138
Nuwakot,21,Gaunkharka,4,71,347,155,192
Nuwakot,21,Gaunkharka,5,43,135,68,67
Nuwakot,21,Gaunkharka,6,81,432,224,208
Nuwakot,21,Gaunkharka,7,145,788,403,385
Nuwakot,21,Gaunkharka,8,60,342,174,168
Nuwakot,21,Gaunkharka,9,73,398,206,192
Nuwakot,22,Gerkhu,1,153,685,309,376
Nuwakot,22,Gerkhu,2,172,806,376,430
Nuwakot,22,Gerkhu,3,200,934,409,525
Nuwakot,22,Gerkhu,4,184,857,388,469
Nuwakot,22,Gerkhu,5,101,443,192,251
Nuwakot,22,Gerkhu,6,85,336,156,180
Nuwakot,22,Gerkhu,7,177,821,375,446
Nuwakot,22,Gerkhu,8,130,545,241,304
Nuwakot,22,Gerkhu,9,219,955,442,513
Nuwakot,23,Ghyangphedi,1,31,144,77,67
Nuwakot,23,Ghyangphedi,2,67,326,198,128
Nuwakot,23,Ghyangphedi,3,51,330,162,168
Nuwakot,23,Ghyangphedi,4,49,245,128,117
Nuwakot,23,Ghyangphedi,5,116,673,369,304
Nuwakot,23,Ghyangphedi,6,79,367,205,162
Nuwakot,23,Ghyangphedi,7,76,435,230,205
Nuwakot,23,Ghyangphedi,8,93,441,244,197
Nuwakot,23,Ghyangphedi,9,42,139,79,60
Nuwakot,24,Gorsyang,1,48,214,91,123
Nuwakot,24,Gorsyang,2,67,335,162,173
Nuwakot,24,Gorsyang,3,77,380,165,215
Nuwakot,24,Gorsyang,4,94,433,200,233
Nuwakot,24,Gorsyang,5,82,370,173,197
Nuwakot,24,Gorsyang,6,60,296,137,159
Nuwakot,24,Gorsyang,7,118,477,204,273
Nuwakot,24,Gorsyang,8,103,445,190,255
Nuwakot,24,Gorsyang,9,123,481,198,283
Nuwakot,25,Jiling,1,222,949,431,518
Nuwakot,25,Jiling,2,103,446,196,250
Nuwakot,25,Jiling,3,107,534,252,282
Nuwakot,25,Jiling,4,136,615,303,312
Nuwakot,25,Jiling,5,122,638,315,323
Nuwakot,25,Jiling,6,178,874,406,468
Nuwakot,25,Jiling,7,150,925,450,475
Nuwakot,25,Jiling,8,131,687,342,345
Nuwakot,25,Jiling,9,122,618,297,321
Nuwakot,26,Kabilas,1,113,565,280,285
Nuwakot,26,Kabilas,2,137,662,333,329
Nuwakot,26,Kabilas,3,74,380,202,178
Nuwakot,26,Kabilas,4,70,308,156,152
Nuwakot,26,Kabilas,5,136,644,317,327
Nuwakot,26,Kabilas,6,80,361,170,191
Nuwakot,26,Kabilas,7,70,309,140,169
Nuwakot,26,Kabilas,8,117,540,265,275
Nuwakot,26,Kabilas,9,66,294,139,155
Nuwakot,27,Kakani,1,146,825,395,430
Nuwakot,27,Kakani,2,143,778,405,373
Nuwakot,27,Kakani,3,332,"1,542",744,798
Nuwakot,27,Kakani,4,140,770,376,394
Nuwakot,27,Kakani,5,206,"1,028",516,512
Nuwakot,27,Kakani,6,153,876,424,452
Nuwakot,27,Kakani,7,97,558,288,270
